CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
1001490,10,Below LIM,1,0,0.0,Reportable
1001490,10,Indigenous Identity,2,0,0.0,Reportable
1001490,10,Parent(s) Less Than High School,3,0,,Reportable
1001490,10,Immigrant Parent(s),4,0,,Reportable
1001490,10,Lone Parent,5,0,,Reportable
1001494,10,Below LIM,1,50,71.4,Reportable
1001494,10,Indigenous Identity,2,0,0.0,Reportable
1001494,10,Parent(s) Less Than High School,3,20,28.57142857142857,Reportable
1001494,10,Immigrant Parent(s),4,0,0.0,Reportable
1001494,10,Lone Parent,5,40,57.14285714285714,Reportable
1001504,10,Below LIM,1,30,6.0,Reportable
1001504,10,Indigenous Identity,2,10,2.0,Reportable
1001504,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001504,10,Immigrant Parent(s),4,25,5.0,Reportable
1001504,10,Lone Parent,5,40,8.0,Reportable
1001505,10,Below LIM,1,0,0.0,Reportable
1001505,10,Indigenous Identity,2,0,0.0,Reportable
1001505,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001505,10,Immigrant Parent(s),4,0,0.0,Reportable
1001505,10,Lone Parent,5,15,16.666666666666664,Reportable
1001507,10,Below LIM,1,0,0.0,Reportable
1001507,10,Indigenous Identity,2,0,0.0,Reportable
1001507,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001507,10,Immigrant Parent(s),4,0,0.0,Reportable
1001507,10,Lone Parent,5,10,6.666666666666667,Reportable
1001509,10,Below LIM,1,45,11.3,Reportable
1001509,10,Indigenous Identity,2,30,7.5,Reportable
1001509,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001509,10,Immigrant Parent(s),4,10,2.5,Reportable
1001509,10,Lone Parent,5,65,16.25,Reportable
1001511,10,Below LIM,1,0,0.0,Reportable
1001511,10,Indigenous Identity,2,0,0.0,Reportable
1001511,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001511,10,Immigrant Parent(s),4,0,0.0,Reportable
1001511,10,Lone Parent,5,10,10.0,Reportable
1001512,10,Below LIM,1,0,0.0,Reportable
1001512,10,Indigenous Identity,2,0,0.0,Reportable
1001512,10,Parent(s) Less Than High School,3,0,,Reportable
1001512,10,Immigrant Parent(s),4,0,,Reportable
1001512,10,Lone Parent,5,0,,Reportable
1001517,10,Below LIM,1,105,6.9,Reportable
1001517,10,Indigenous Identity,2,65,4.3,Reportable
1001517,10,Parent(s) Less Than High School,3,10,0.6514657980456027,Reportable
1001517,10,Immigrant Parent(s),4,25,1.6286644951140066,Reportable
1001517,10,Lone Parent,5,205,13.355048859934854,Reportable
1001519,10,Below LIM,1,1065,20.1,Reportable
1001519,10,Indigenous Identity,2,225,4.2,Reportable
1001519,10,Parent(s) Less Than High School,3,350,6.591337099811676,Reportable
1001519,10,Immigrant Parent(s),4,1065,20.056497175141246,Reportable
1001519,10,Lone Parent,5,1105,20.80979284369115,Reportable
1001542,10,Below LIM,1,155,15.3,Reportable
1001542,10,Indigenous Identity,2,25,2.5,Reportable
1001542,10,Parent(s) Less Than High School,3,25,2.4630541871921183,Reportable
1001542,10,Immigrant Parent(s),4,55,5.41871921182266,Reportable
1001542,10,Lone Parent,5,245,24.137931034482758,Reportable
1001551,10,Below LIM,1,0,0.0,Reportable
1001551,10,Indigenous Identity,2,0,0.0,Reportable
1001551,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001551,10,Immigrant Parent(s),4,0,0.0,Reportable
1001551,10,Lone Parent,5,0,0.0,Reportable
1001557,10,Below LIM,1,0,0.0,Reportable
1001557,10,Indigenous Identity,2,0,0.0,Reportable
1001557,10,Parent(s) Less Than High School,3,0,0.0,Reportable
