CSD Number,CSD Name,Province Code,Province Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Population in Census Families,Children Aged 0 to 5,Child Population Band,Child Population Band Sort,Public Denominator Flag,Population Status,Children Status,MIZ Status,Province Status
1001557,Bay Bulls,10,Newfoundland and Labrador,1,Inside CMA,Inside CMA,CMA,1380,165,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1001559,Witless Bay,10,Newfoundland and Labrador,1,Inside CMA,Inside CMA,CMA,1420,125,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1001565,"Division No.  1, Subd. D",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,60,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002001,"Division No.  2, Subd. E",10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,190,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002002,Lewin's Cove,10,Newfoundland and Labrador,6,Weak MIZ,Weak MIZ,MIZ,535,25,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002005,Burin,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,1885,105,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002006,"Division No.  2, Subd. F",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,80,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002008,St. Lawrence,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,905,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002009,"Division No.  2, Subd. G",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1002011,Lawn,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,510,35,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002012,Lamaline,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,215,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002013,Lord's Cove,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,200,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002014,Point May,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,155,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002015,Point au Gaul,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,45,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002016,"Division No.  2, Subd. H",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,130,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002017,Frenchman's Cove,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,130,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002018,Fortune,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,1025,40,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002019,Grand Bank,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,1690,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002021,Garnish,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,475,20,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002022,"Division No.  2, Subd. D",10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,175,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002023,Winterland,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,320,30,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002024,Marystown,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,4220,235,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002025,Fox Cove-Mortier,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,195,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1002026,"Division No.  2, Subd. I",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,160,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1002027,Bay L'Argent,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,180,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
