Record Type,Province Code,Province Name,Is Canada,Population in Census Families,Children Aged 0 to 5,Population Status,Children Status,CSD Number,CSD Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Child Population Band,Child Population Band Sort,Public Denominator Flag,MIZ Status,Province Status,Indicator,Indicator Short Name,Indicator Description,Indicator Sort,Children Count,Percent,Value Status,Note Number,Note
CSD,46,Manitoba,,2110,175,Reportable,Reportable,4607066,North Cypress-Langford,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1430,150,Reportable,Reportable,4607068,Carberry,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1110,105,Reportable,Reportable,4607071,Elton,3,Inside non-tracted CA,Inside non-tracted CA,CA,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,,,Suppressed,Suppressed,4607072,Waywayseecappo Highway 10,3,Inside non-tracted CA,Inside non-tracted CA,CA,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1475,145,Reportable,Reportable,4607076,Riverdale,4,Strong MIZ,Strong MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1250,115,Reportable,Reportable,4608032,Norfolk-Treherne,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,865,60,Reportable,Reportable,4608042,Victoria,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,3025,320,Reportable,Reportable,4608046,North Norfolk,5,Moderate MIZ,Moderate MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,910,75,Reportable,Reportable,4608055,Glenella-Lansdowne,6,Weak MIZ,Weak MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2170,185,Reportable,Reportable,4608060,WestLake-Gladstone,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2265,325,Reportable,Reportable,4608069,Sandy Bay 5,6,Weak MIZ,Weak MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2010,180,Reportable,Reportable,4609018,Grey,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,4785,360,Reportable,Reportable,4609024,Portage la Prairie,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1090,170,Reportable,Reportable,4609025,Long Plain 6,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,85,,Reportable,Suppressed,4609026,Dakota Plains 6A,7,No MIZ,No MIZ,MIZ,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,190,,Reportable,Suppressed,4609027,Dakota Tipi 1,7,No MIZ,No MIZ,MIZ,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,9975,885,Reportable,Reportable,4609029,Portage la Prairie,3,Inside non-tracted CA,Inside non-tracted CA,CA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,,,Suppressed,Suppressed,4609030,Long Plain,7,No MIZ,No MIZ,MIZ,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,7425,595,Reportable,Reportable,4610035,Macdonald,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1970,170,Reportable,Reportable,4610043,Cartier,4,Strong MIZ,Strong MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1280,95,Reportable,Reportable,4610052,St. François Xavier,1,Inside CMA,Inside CMA,CMA,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,582490,47020,Reportable,Reportable,4611040,Winnipeg,1,Inside CMA,Inside CMA,CMA,"1,000+ children",1,"1,000+ children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,3430,215,Reportable,Reportable,4611042,Headingley,1,Inside CMA,Inside CMA,CMA,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,14330,990,Reportable,Reportable,4612047,Springfield,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,4795,425,Reportable,Reportable,4612054,Brokenhead,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2555,140,Reportable,Reportable,4612056,Beausejour,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,9075,475,Reportable,Reportable,4613032,East St. Paul,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,5915,430,Reportable,Reportable,4613037,West St. Paul,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,10350,575,Reportable,Reportable,4613043,St. Andrews,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,7740,665,Reportable,Reportable,4613047,Selkirk,5,Moderate MIZ,Moderate MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,740,35,Reportable,Reportable,4613049,Dunnottar,4,Strong MIZ,Strong MIZ,MIZ,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,9870,595,Reportable,Reportable,4613056,St. Clements,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,340,45,Reportable,Reportable,4613062,Brokenhead 4,1,Inside CMA,Inside CMA,CMA,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,920,50,Reportable,Reportable,4614015,Rosser,1,Inside CMA,Inside CMA,CMA,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2960,195,Reportable,Reportable,4614031,Woodlands,4,Strong MIZ,Strong MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
